amount,term_ 36 months,rate,payment,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,length_sub 1 year,length_1 year,length_10 plus years,length_2 years,length_3 years,length_4 years,length_5 years,length_6 years,length_7 years,length_8 years,length_9 years,length_n/a,home_MORTGAGE,home_OWN,home_RENT,income,verified_Not Verified,verified_Source Verified,verified_Verified,status_Bad,reason_credit_card,reason_debt_consolidation,reason_home_improvement,reason_other,debtIncRat,delinq2yr,inq6mth,openAcc,pubRec,revolRatio,totalAcc,totalBal,totalRevLim,accOpen24,avgBal,bcOpen,bcRatio,totalLim,totalRevBal,totalBcLim,totalIlLim
35000,1,0.12,1162.34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,70000,0,0,1,0,1,0,0,0,23.01,0,0,11,0,0.66,22,52674,47800,2,4789,8841,67,75701,52674,26800,27901
25600,1,0.05,770.94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,120000,0,1,0,0,0,1,0,0,12.99,1,2,29,0,0.18,59,212905,174800,8,8189,87537,25.9,394025,36574,118100,19225
11200,1,0.08,350.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,58500,0,1,0,0,0,1,0,0,6.06,0,1,4,1,0.13,33,31008,34200,1,7752,29916,12.5,79388,31008,34200,45188
5950,1,0.17,210.93,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50000,0,1,0,0,0,1,0,0,13.15,0,0,10,0,0.8,11,23049,7300,6,2561,35,98.6,27604,23049,2500,20304
15000,1,0.11,491.01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60000,0,1,0,0,0,1,0,0,2.68,0,0,4,0,0.67,16,287439,10000,3,71860,1089,83.2,294750,6676,6500,0
17400,1,0.1,565.47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44680,1,0,0,0,1,0,0,0,16.87,0,0,11,1,0.85,18,27104,12700,3,3012,824,91.8,31494,27104,10100,18794
10000,1,0.11,327.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40903,1,0,0,0,1,0,0,0,5.22,0,0,6,0,0.45,11,8028,17700,3,1338,7372,52.1,17700,8028,15400,0
17500,0,0.12,386.37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,75000,0,1,0,0,0,1,0,0,12.7,0,0,10,0,0.22,23,190099,46900,3,19010,17000,33.3,246692,12952,25500,17192
15000,1,0.08,471.37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,205000,1,0,0,0,0,1,0,0,8.97,0,0,6,0,0.9,13,410775,27100,6,68463,2134,87.5,433213,76022,17100,61013
22000,0,0.12,492.61,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,130000,0,0,1,0,1,0,0,0,16.27,0,1,9,1,0.79,30,149078,45800,2,16564,9627,79,167776,64017,45800,35000
20000,0,0.25,586.91,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,137000,0,1,0,0,0,1,0,0,13.01,0,2,15,0,0.69,30,274253,26600,11,22854,0,100.9,295004,72280,9600,58855
16000,1,0.06,486.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,81079,1,0,0,0,0,1,0,0,16.21,0,0,13,0,0.33,29,217834,139400,1,18153,38154,35.6,279938,83782,59200,0
35000,0,0.12,779.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,150000,0,1,0,0,0,1,0,0,19.53,0,0,13,0,0.44,25,483754,89600,5,37212,36675,49.8,577146,102310,73000,86646
6000,1,0.13,202.14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70000,1,0,0,0,0,1,0,0,6.22,0,2,10,0,0.61,20,51417,9850,7,5141,567,71,69350,6057,1700,0
31200,0,0.18,789.91,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,86000,0,1,0,0,1,0,0,0,20.73,0,0,9,0,0.83,13,43014,34500,6,4779,0,100.4,59500,43014,28500,25000
5000,1,0.08,156.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35000,1,0,0,0,0,1,0,0,6.48,0,0,6,1,0.3,26,4938,16500,3,823,9131,29.8,16500,4938,13000,0
14000,1,0.07,431.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,135000,1,0,0,0,0,0,1,0,1.24,0,1,8,3,0.35,25,12524,36000,3,2087,15976,43.9,36000,12524,28500,0
10000,1,0.09,316.47,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,99438,0,1,0,0,0,1,0,0,9.64,1,1,5,0,0.71,14,49265,11000,2,9853,2172,74.4,54394,49265,8500,43394
