iter	Passed	Remaining
944	4144	241
945	4145	236
946	4147	232
947	4148	227
948	4149	222
949	4150	218
950	4151	213
951	4152	209
952	4153	204
953	4154	200
954	4156	195
955	4157	191
956	4158	186
957	4231	185
958	4232	180
959	4233	176
960	4235	171
961	4236	167
962	4237	162
963	4238	158
964	4239	153
965	4240	149
966	4241	144
967	4242	140
968	4243	135
969	4244	131
970	4245	126
971	4247	122
972	4248	117
973	4249	113
974	4250	108
975	4251	104
976	4252	100
977	4253	95
978	4254	91
979	4328	88
980	4329	83
981	4331	79
982	4332	74
983	4333	70
984	4334	66
985	4335	61
986	4336	57
987	4337	52
988	4339	48
989	4340	43
990	4341	39
991	4342	35
992	4343	30
993	4344	26
994	4345	21
995	4346	17
996	4347	13
997	4349	8
998	4350	4
999	4351	0
